subject,neuron,best_bin_ms,best_gamma,overall_accuracy,preferred_number,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,accuracy_6,accuracy_7,accuracy_8,accuracy_9
YFR,34,60,0.2,0.18045112781954886,5,0.2222222222222222,0.1724137931034483,0.18518518518518517,0.14705882352941177,0.26666666666666666,0.2,0.12121212121212122,0.21739130434782608,0.11764705882352941
YFR,36,450,0.2,0.17293233082706766,8,0.0,0.0,0.0,0.2647058823529412,0.2,0.35,0.42424242424242425,0.43478260869565216,0.0
YFR,53,180,0.2,0.15413533834586465,8,0.0,0.10344827586206896,0.0,0.11764705882352941,0.1,0.0,0.0,0.8695652173913043,0.3235294117647059
YFR,62,90,0.2,0.15413533834586465,8,0.2222222222222222,0.06896551724137931,0.1111111111111111,0.14705882352941177,0.13333333333333333,0.05,0.12121212121212122,0.2608695652173913,0.23529411764705882
YFR,64,225,0.2,0.14285714285714285,8,0.19444444444444445,0.034482758620689655,0.1111111111111111,0.0,0.1,0.1,0.21212121212121213,0.43478260869565216,0.14705882352941177
YFR,65,60,0.2,0.18045112781954886,7,0.16666666666666666,0.20689655172413793,0.2222222222222222,0.20588235294117646,0.06666666666666667,0.2,0.24242424242424243,0.043478260869565216,0.23529411764705882
YFR,67,150,0.8,0.16541353383458646,5,0.16666666666666666,0.0,0.1111111111111111,0.20588235294117646,0.5333333333333333,0.0,0.15151515151515152,0.2608695652173913,0.029411764705882353
YFS,27,300,0.5,0.15151515151515152,3,0.03125,0.0,0.4583333333333333,0.21212121212121213,0.03125,0.20833333333333334,0.2962962962962963,0.0,0.2413793103448276
YFS,34,900,0.2,0.14772727272727273,4,0.0,0.0,0.08333333333333333,0.9090909090909091,0.0,0.0,0.0,0.23333333333333334,0.0
YFS,37,225,0.5,0.19318181818181818,1,0.4375,0.24242424242424243,0.20833333333333334,0.06060606060606061,0.03125,0.125,0.25925925925925924,0.13333333333333333,0.2413793103448276
