subject,neuron_id,region,best_bin_ms,n_temporal_bins,best_gamma,n_folds,observed_accuracy,mean_shuffle_accuracy,n_shuffles_ge_observed,p_value,number_coding,runtime_sec
YFM,91,ent,60,15,0.2,4,,,0,0.004975124378109453,True,0.3121013641357422
YFM,92,ent,300,3,0.5,4,0.15789473684210525,0.10434210526315789,11,0.05970149253731343,False,2.139613628387451
YFM,93,ent,225,4,0.2,4,0.14035087719298245,,40,0.20398009950248755,False,2.23630690574646
YFP,29,hpc,90,10,0.5,9,0.14556962025316456,0.10778481012658228,25,0.12935323383084577,False,4.619359731674194
YFP,30,hpc,450,2,0.2,9,0.13924050632911392,,22,0.11442786069651742,False,3.1298723220825195
YFP,31,hpc,900,1,0.2,9,0.1518987341772152,0.10734177215189872,15,0.07960199004975124,False,2.8780770301818848
YFP,32,hpc,900,1,0.2,9,0.13924050632911392,,27,0.13930348258706468,False,2.761636734008789
YFP,33,hpc,300,3,0.2,9,0.10126582278481013,,103,0.5174129353233831,False,2.507180690765381
YFP,34,hpc,180,5,0.2,9,0.12658227848101267,,45,0.22885572139303484,False,2.6303131580352783
YFP,35,hpc,300,3,0.5,9,0.17721518987341772,0.10234177215189874,3,0.01990049751243781,True,3.6816890239715576
YFP,36,hpc,450,2,0.5,9,0.13924050632911392,,24,0.12437810945273632,False,2.8519251346588135
YFP,37,hpc,900,1,0.5,9,0.0759493670886076,,155,0.7761194029850746,False,2.5754427909851074
YFP,38,hpc,60,15,0.2,9,,,0,0.004975124378109453,True,0.3535192012786865
YFP,39,hpc,225,4,0.8,9,0.17088607594936708,,5,0.029850746268656716,True,2.8054440021514893
YFP,40,hpc,225,4,0.2,9,0.12025316455696203,,33,0.1691542288557214,False,1.7288265228271484
YFP,41,hpc,60,15,0.2,9,,,0,0.004975124378109453,True,0.3259880542755127
YFP,42,hpc,300,3,0.2,9,0.13291139240506328,,26,0.13432835820895522,False,2.301746368408203
YFP,43,hpc,300,3,0.8,9,0.14556962025316456,,5,0.029850746268656716,True,1.0753588676452637
YFP,44,hpc,900,1,0.5,9,0.0949367088607595,,66,0.3333333333333333,False,1.9463105201721191
YFP,45,hpc,180,5,0.2,9,0.14556962025316456,,11,0.05970149253731343,False,1.6700472831726074
YFP,46,hpc,225,4,0.2,9,0.08860759493670886,,42,0.21393034825870647,False,1.4917280673980713
YFP,73,hpc,300,3,0.5,9,0.15822784810126583,0.10427215189873419,6,0.03482587064676617,True,3.32844614982605
YFP,74,hpc,75,12,0.8,9,0.1518987341772152,0.10816455696202532,17,0.08955223880597014,False,4.717714071273804
YFP,75,hpc,75,12,0.5,9,0.1518987341772152,0.11237341772151897,23,0.11940298507462686,False,4.6356682777404785
YFP,76,hpc,100,9,0.2,9,0.12658227848101267,,71,0.3582089552238806,False,4.057440996170044
YFP,77,hpc,180,5,0.5,9,0.14556962025316456,0.10778481012658228,28,0.14427860696517414,False,3.7717788219451904
YFP,78,hpc,150,6,0.2,9,0.15822784810126583,,15,0.07960199004975124,False,3.314293384552002
YFP,79,hpc,60,15,0.2,9,,,0,0.004975124378109453,True,0.3444325923919678
YFP,80,hpc,100,9,0.2,9,0.10759493670886076,,112,0.5621890547263682,False,3.4601473808288574
YFP,81,hpc,90,10,0.5,9,0.14556962025316456,0.11417721518987342,35,0.1791044776119403,False,4.379337549209595
YFP,82,hpc,60,15,0.2,9,,,0,0.004975124378109453,True,0.3403892517089844
YFP,83,hpc,300,3,0.5,9,0.13291139240506328,0.10379746835443038,42,0.21393034825870647,False,3.405466318130493
YFP,84,hpc,60,15,0.8,9,0.14556962025316456,0.11075949367088608,30,0.15422885572139303,False,5.538774013519287
YFP,85,hpc,75,12,0.8,9,0.18354430379746836,0.10927215189873418,4,0.024875621890547265,True,5.402592897415161
YFP,86,hpc,75,12,0.5,9,0.12658227848101267,0.11167721518987342,69,0.3482587064676617,False,4.999440908432007
YFP,87,hpc,90,10,0.8,9,0.1518987341772152,0.11,14,0.07462686567164178,False,4.720993757247925
YFP,88,hpc,900,1,0.2,9,0.12025316455696203,0.10436708860759493,66,0.3333333333333333,False,2.959977626800537
YFP,89,hpc,180,5,0.5,9,0.12658227848101267,0.10854430379746835,58,0.2935323383084577,False,3.756964683532715
