subject,neuron_id,region,best_bin_ms,n_temporal_bins,best_gamma,n_folds,observed_accuracy,mean_shuffle_accuracy,n_shuffles_ge_observed,p_value,number_coding,runtime_sec
YFJ,56,hpc,60.0,15.0,0.2,4.0,0.10526315789473684,0.11451754385964913,121.0,0.6069651741293532,False,3.3462955951690674
YFJ,57,hpc,180.0,5.0,0.5,4.0,0.21929824561403508,0.10964912280701754,1.0,0.009950248756218905,True,3.121917963027954
YFJ,58,hpc,90.0,10.0,0.8,4.0,0.14035087719298245,0.11118421052631579,42.0,0.21393034825870647,False,3.307227373123169
YFJ,59,hpc,150.0,6.0,0.2,4.0,0.11403508771929824,0.11228070175438595,97.0,0.48756218905472637,False,3.44677472114563
YFJ,60,hpc,75.0,12.0,0.8,4.0,0.19298245614035087,0.11337719298245613,2.0,0.014925373134328358,True,2.5716257095336914
YFJ,61,hpc,75.0,12.0,0.8,4.0,0.17543859649122806,0.11442982456140349,11.0,0.05970149253731343,False,3.0519826412200928
YFK,24,hpc,100.0,9.0,0.8,4.0,0.15789473684210525,0.10903508771929823,19.0,0.09950248756218906,False,3.046724319458008
YFK,25,hpc,60.0,15.0,0.2,4.0,0.14035087719298245,0.1118421052631579,45.0,0.22885572139303484,False,3.810692071914673
YFK,26,hpc,100.0,9.0,0.2,4.0,0.19298245614035087,0.10864035087719298,1.0,0.009950248756218905,True,3.352337598800659
YFK,27,hpc,60.0,15.0,0.2,4.0,0.16666666666666666,0.15916435826408123,101.0,0.6666666666666666,False,911.4092147350311
YFK,28,hpc,225.0,4.0,0.2,4.0,0.14035087719298245,0.10855263157894736,41.0,0.208955223880597,False,1371.8045120239258
YFK,29,hpc,100.0,9.0,0.8,4.0,0.20175438596491227,0.11087719298245613,5.0,0.029850746268656716,True,3.912632942199707
YFK,30,hpc,90.0,10.0,0.2,4.0,0.17543859649122806,0.1119298245614035,8.0,0.04477611940298507,True,5.738926649093628
YFK,31,hpc,300.0,3.0,0.5,4.0,0.14035087719298245,0.08793859649122805,22.0,0.11442786069651742,False,6.116742372512817
YFK,32,hpc,60.0,15.0,0.8,4.0,0.14035087719298245,0.115,55.0,0.27860696517412936,False,5.407923460006714
YFK,33,hpc,90.0,10.0,0.2,4.0,0.13157894736842105,0.11144736842105264,65.0,0.3283582089552239,False,4.728255748748779
YFK,34,para-hpc,100.0,9.0,0.5,4.0,0.12280701754385964,0.1143421052631579,83.0,0.417910447761194,False,4.032618999481201
YFK,35,para-hpc,300.0,3.0,0.2,4.0,0.15789473684210525,0.1055701754385965,19.0,0.09950248756218906,False,4.154204368591309
YFK,36,para-hpc,450.0,2.0,0.2,4.0,0.16666666666666666,0.10403508771929823,8.0,0.04477611940298507,True,3.929142951965332
YFK,37,para-hpc,100.0,9.0,0.5,4.0,0.16666666666666666,0.1132456140350877,17.0,0.08955223880597014,False,3.942289113998413
YFK,38,para-hpc,900.0,1.0,0.5,4.0,0.13157894736842105,0.10469298245614034,49.0,0.24875621890547264,False,3.5005834102630615
YFK,39,para-hpc,60.0,15.0,0.2,4.0,0.19298245614035087,0.11438596491228069,1.0,0.009950248756218905,True,3.778543472290039
