subject,region,neuron_id,paper_unit,n_presentations,temporal_accuracy,best_bin_ms,best_gamma,shuffle_mean_accuracy,shuffle_95,p_value,temporal_coding,n_valid_shuffles,q_value,temporal_coding_FDR
YFP,hpc,77,78,158,0.1518987341772152,180.0,0.8,0.1061392405063291,0.15822784810126583,0.0945273631840796,False,200,0.2126865671641791,False
YFP,hpc,78,79,158,0.1518987341772152,75.0,0.8,0.11278481012658226,0.17088607594936708,0.1691542288557214,False,200,0.28750981932443054,False
YFP,hpc,79,80,158,0.18354430379746836,75.0,0.2,0.11325949367088609,0.1518987341772152,0.004975124378109453,True,200,0.1300639658848614,False
YFP,hpc,80,81,158,0.11392405063291139,90.0,0.2,0.10655063291139241,0.15822784810126583,0.4527363184079602,False,200,0.5082867869242743,False
YFP,hpc,81,82,158,0.13924050632911392,75.0,0.5,0.11212025316455695,0.15822784810126583,0.19402985074626866,False,200,0.3078681735829523,False
YFP,hpc,82,83,158,,,,,,,False,0,,False
YFP,hpc,83,84,158,0.12658227848101267,300.0,0.2,0.10297468354430378,0.1518987341772152,0.24875621890547264,False,200,0.3492766347291674,False
YFP,hpc,84,85,158,0.13291139240506328,60.0,0.8,0.11243670886075949,0.16455696202531644,0.2736318407960199,False,200,0.36285961496863506,False
YFP,hpc,85,86,158,0.189873417721519,75.0,0.5,0.10927215189873418,0.15822784810126583,0.014925373134328358,True,200,0.14898236092265943,False
YFP,hpc,86,87,158,0.13924050632911392,75.0,0.8,0.11240506329113924,0.15822784810126583,0.17412935323383086,False,200,0.288812733913514,False
YFP,hpc,87,88,158,0.16455696202531644,90.0,0.5,0.1104746835443038,0.15822784810126583,0.04975124378109453,True,200,0.16964865115416705,False
YFP,hpc,88,89,158,0.12025316455696203,900.0,0.2,0.10433544303797468,0.15822784810126583,0.3333333333333333,False,200,0.4112359550561797,False
YFP,hpc,89,90,158,0.13291139240506328,180.0,0.8,0.10882911392405063,0.15854430379746826,0.26865671641791045,False,200,0.36061745064409007,False
YFP,hpc,90,91,158,0.16455696202531644,75.0,0.2,0.11231012658227847,0.16455696202531644,0.06965174129353234,False,200,0.1874451273046532,False
YFP,hpc,91,92,158,0.1518987341772152,60.0,0.8,0.10901898734177216,0.15221518987341762,0.0845771144278607,False,200,0.19843092231151935,False
YFP,hpc,92,93,158,0.14556962025316456,450.0,0.2,0.10515822784810126,0.15822784810126583,0.14925373134328357,False,200,0.2722269053404076,False
YFP,hpc,93,94,158,0.15822784810126583,900.0,0.2,0.1039873417721519,0.16455696202531644,0.08955223880597014,False,200,0.20744379368977894,False
YFP,hpc,94,95,158,0.1518987341772152,450.0,0.2,0.10455696202531646,0.1518987341772152,0.05970149253731343,False,200,0.18008856814826965,False
YFP,hpc,95,96,158,0.11392405063291139,60.0,0.8,0.11009493670886077,0.15822784810126583,0.5174129353233831,False,200,0.5636105188343994,False
YFP,hpc,96,97,158,0.15822784810126583,75.0,0.2,0.10939873417721518,0.16455696202531644,0.0845771144278607,False,200,0.19843092231151935,False
YFP,hpc,97,98,158,0.1518987341772152,300.0,0.2,0.10674050632911392,0.14556962025316456,0.04477611940298507,True,200,0.1672250989948218,False
YFR,hpc,0,1,266,0.14285714285714285,450.0,0.5,0.10736842105263157,0.15037593984962405,0.07960199004975124,False,200,0.19336943600581166,False
YFR,hpc,1,2,266,0.14661654135338345,225.0,0.2,0.11152255639097744,0.15413533834586465,0.1044776119402985,False,200,0.22493415276558382,False
YFR,hpc,2,3,266,0.11278195488721804,60.0,0.2,0.12575187969924811,0.13533834586466165,0.7810945273631841,False,200,0.797064861565777,False
YFR,hpc,3,4,266,0.11278195488721804,100.0,0.8,0.1106954887218045,0.150563909774436,0.472636815920398,False,200,0.5231403466538276,False
YFR,hpc,4,5,266,0.14661654135338345,100.0,0.2,0.11137218045112782,0.14661654135338345,0.06467661691542288,False,200,0.18116052391105697,False
YFR,hpc,5,6,266,0.15037593984962405,450.0,0.5,0.11020676691729324,0.1468045112781954,0.05472636815920398,False,200,0.17168443496801705,False
YFR,hpc,6,7,266,0.12781954887218044,60.0,0.5,0.10964285714285714,0.1430451127819548,0.25870646766169153,False,200,0.35507462686567165,False
YFR,hpc,7,8,266,0.09398496240601503,900.0,0.2,0.11046992481203005,0.13909774436090225,0.8208955223880597,False,200,0.8330344580241124,False
YFR,hpc,8,9,266,0.12781954887218044,75.0,0.8,0.10926691729323307,0.15037593984962405,0.22885572139303484,False,200,0.3377467501203659,False
YFR,hpc,9,10,266,0.09398496240601503,900.0,0.2,0.10887218045112781,0.1430451127819548,0.8109452736318408,False,200,0.8244610281923714,False
YFR,hpc,10,11,266,0.11278195488721804,900.0,0.2,0.10966165413533834,0.150563909774436,0.48756218905472637,False,200,0.5353432835820896,False
YFR,hpc,11,12,266,0.13909774436090225,75.0,0.2,0.11118421052631579,0.14661654135338345,0.10945273631840796,False,200,0.23200599320002305,False
YFR,hpc,12,13,266,0.10526315789473684,90.0,0.8,0.1092669172932331,0.14285714285714285,0.6417910447761194,False,200,0.6736965269256014,False
YFR,hpc,13,14,266,0.12406015037593984,60.0,0.2,0.11223684210526315,0.16165413533834586,0.3482587064676617,False,200,0.4248756218905473,False
YFR,hpc,14,15,266,,,,,,,False,0,,False
YFR,hpc,15,16,266,0.12406015037593984,150.0,0.2,0.11214285714285714,0.14285714285714285,0.3283582089552239,False,200,0.4078476396299048,False
YFR,hpc,16,17,266,0.15413533834586465,60.0,0.2,0.1118233082706767,0.16165413533834586,0.07960199004975124,False,200,0.19336943600581166,False
YFR,hpc,17,18,266,0.12406015037593984,900.0,0.2,0.10802631578947366,0.14661654135338345,0.23880597014925373,False,200,0.3432054387747128,False
YFR,hpc,18,19,266,0.13533834586466165,75.0,0.5,0.11046992481203005,0.150563909774436,0.1791044776119403,False,200,0.2952803549818475,False
YFR,hpc,19,20,266,0.16165413533834586,60.0,0.5,0.11362781954887219,0.1543233082706766,0.04477611940298507,True,200,0.1672250989948218,False
YFR,hpc,20,21,266,0.16541353383458646,60.0,0.5,0.10911654135338346,0.14661654135338345,0.009950248756218905,True,200,0.1300639658848614,False
YFR,hpc,21,22,266,0.12781954887218044,90.0,0.8,0.11434210526315787,0.150563909774436,0.31343283582089554,False,200,0.39466657537998084,False
YFR,hpc,22,23,266,0.16541353383458646,75.0,0.8,0.10776315789473685,0.14661654135338345,0.014925373134328358,True,200,0.14898236092265943,False
YFR,hpc,23,24,266,0.14285714285714285,100.0,0.2,0.10881578947368421,0.13909774436090225,0.04477611940298507,True,200,0.1672250989948218,False
YFR,amy,24,25,266,0.10902255639097744,60.0,0.8,0.11231203007518797,0.15789473684210525,0.5671641791044776,False,200,0.6046080278220547,False
YFR,amy,25,26,266,0.13533834586466165,180.0,0.2,0.11069548872180451,0.15037593984962405,0.15920398009950248,False,200,0.2801377726750861,False
YFR,amy,26,27,266,0.15037593984962405,90.0,0.5,0.10986842105263157,0.14661654135338345,0.04975124378109453,True,200,0.16964865115416705,False
YFR,amy,27,28,266,0.16165413533834586,75.0,0.2,0.10614661654135338,0.1468045112781954,0.01990049751243781,True,200,0.15387849484969518,False
YFR,amy,28,29,266,0.13157894736842105,100.0,0.5,0.11159774436090224,0.15413533834586465,0.23383084577114427,False,200,0.33871539400622214,False
YFR,amy,29,30,266,0.12030075187969924,100.0,0.8,0.11509398496240601,0.15413533834586465,0.43283582089552236,False,200,0.49096459849512764,False
YFR,amy,30,31,266,0.15413533834586465,75.0,0.2,0.1068233082706767,0.14285714285714285,0.01990049751243781,True,200,0.15387849484969518,False
YFR,amy,31,32,266,0.17293233082706766,100.0,0.2,0.10787593984962406,0.1430451127819548,0.004975124378109453,True,200,0.1300639658848614,False
YFR,amy,32,33,266,0.14285714285714285,300.0,0.8,0.11178571428571427,0.1468045112781954,0.11940298507462686,False,200,0.24459790599242592,False
YFR,amy,33,34,266,0.18421052631578946,60.0,0.2,0.10874060150375939,0.14699248120300737,0.004975124378109453,True,200,0.1300639658848614,False
YFR,amy,34,35,266,0.11654135338345864,90.0,0.5,0.10866541353383459,0.15037593984962405,0.38308457711442784,False,200,0.45228695233509864,False
YFR,amy,35,36,266,0.16165413533834586,450.0,0.2,0.11046992481203008,0.15037593984962405,0.024875621890547265,True,200,0.160667251975417,False
YFR,amy,36,37,266,0.14285714285714285,60.0,0.2,0.108796992481203,0.14661654135338345,0.06965174129353234,False,200,0.1874451273046532,False
YFR,amy,37,38,266,0.12781954887218044,75.0,0.8,0.10883458646616541,0.1468045112781954,0.208955223880597,False,200,0.31954433958341993,False
YFR,amy,38,39,266,0.12781954887218044,90.0,0.2,0.10954887218045112,0.1468045112781954,0.22885572139303484,False,200,0.3377467501203659,False
YFR,amy,39,40,266,0.11278195488721804,450.0,0.2,0.10853383458646615,0.14285714285714285,0.46766169154228854,False,200,0.5207835064030758,False
