trial_index,operand,number,TC1,TC2
89.0,1.0,6,-1.3838509423432543,0.12666637653257726
89.0,2.0,9,0.4190530808690579,-0.48953989539726656
90.0,1.0,5,-0.41634982133813586,0.6807109394746874
90.0,2.0,1,0.317406481653186,1.2329027171784188
91.0,1.0,1,0.1853082628552614,-0.4913926806356452
91.0,2.0,8,-0.8307902566153041,-0.30812654553927465
92.0,1.0,2,1.2870063205747089,-0.8750038371497579
93.0,1.0,7,1.0689671255379372,0.05284888502018521
94.0,1.0,6,-1.002061365129613,1.7204536778943942
94.0,2.0,3,-0.3864549378856305,1.6882035838964058
95.0,1.0,1,1.5527176860404963,0.32987116649124026
95.0,2.0,5,-0.7146505926149667,-1.4939835107933273
96.0,1.0,9,2.0500631372080083,1.156036827882162
96.0,2.0,2,-0.08040310261052583,-1.6962676842766433
97.0,1.0,3,-3.216408931583176,-1.3266863850582449
97.0,2.0,4,-0.8174706817108112,0.020371795203222697
98.0,1.0,9,-0.5843487220560675,0.2554273522172047
98.0,2.0,5,-0.30265174787577387,1.5129740276751313
99.0,1.0,6,-0.38048820773071507,-0.803333424589448
99.0,2.0,8,-0.11598940045748671,0.008421718964861092
100.0,2.0,8,0.8189613830491743,-0.22232061121249116
101.0,1.0,9,3.051354207821062,0.03050745277923562
101.0,2.0,6,-0.7167493105313713,1.1679676064769595
102.0,1.0,6,-0.03246152620809003,-0.38745287643378246
102.0,2.0,6,0.3660038801186332,0.4955920191399382
103.0,1.0,9,-1.3998709493933248,-1.208716723560668
103.0,2.0,5,-1.9515052134207396,1.414610360750114
104.0,1.0,4,-0.747846172412374,-0.28576581565476095
104.0,2.0,8,1.0361024039664335,-1.1376156007842002
105.0,1.0,9,0.04900059382886066,0.06570091133212262
105.0,2.0,7,0.5849021809623317,-0.6298509891357928
106.0,1.0,3,0.18620643697477415,-0.5039504132338792
106.0,2.0,1,-1.2837583393099066,0.4629070024364675
107.0,1.0,6,0.35178022130758807,-0.8649065461497749
107.0,2.0,6,-0.031248968015531203,0.005666983652906733
108.0,1.0,3,0.9848104831424482,-0.3626317049510176
108.0,2.0,5,-0.1633471868134558,-1.718628414161157
109.0,1.0,2,0.9028036413716171,-0.21251761392621155
109.0,2.0,8,-0.11419305221846118,-0.01669374623160698
110.0,1.0,7,0.5345475025704451,0.3176077276067095
110.0,2.0,1,-0.03214714213504389,0.01822471625114078
111.0,1.0,5,0.9344558047505617,0.5848270117914849
111.0,2.0,6,0.4371103535830496,-0.24133864959943685
112.0,1.0,1,0.6352959276668043,-1.3922771523707416
112.0,2.0,2,-0.1150912263379739,-0.00413601363337292
113.0,1.0,2,-0.1316950234345112,-0.9212837884434606
113.0,2.0,3,1.3856560277546635,0.07706240014307754
114.0,1.0,4,1.68484295875534,-0.8033141269458838
114.0,2.0,4,0.46940775926094436,-1.4369986121397689
115.0,1.0,7,1.8519046170411728,-0.550505360597721
116.0,1.0,3,-0.5005064637336246,0.26523034950348434
116.0,2.0,5,-0.8977487321037279,-0.2778156036068599
117.0,1.0,5,-1.434244689047727,0.8890925397675258
117.0,2.0,8,0.6169077967269087,0.7582037827743805
118.0,1.0,3,-0.6986649839004603,-1.4413118389763988
119.0,1.0,7,-0.3654113528997827,-0.6849831025509725
119.0,2.0,9,1.0173998889534916,0.6071877416759986
120.0,1.0,3,-1.7841126969090029,-0.731263053844675
120.0,2.0,3,-1.0322600528911032,0.2541625231644397
121.0,1.0,3,-2.1354506545405916,1.1216876551832566
121.0,2.0,9,0.9507557975381141,1.0431762762933368
122.0,1.0,7,-0.49719518762466125,-2.0036009076801133
122.0,2.0,7,0.9712155924774952,-0.9117750848708843
123.0,1.0,7,0.004612645591889707,-1.4783773804112283
124.0,1.0,1,-0.06501186370654741,-1.1722397695532447
124.0,2.0,9,0.8002588680362324,1.5224827312477078
125.0,1.0,1,0.6844500622617989,0.30965751555880844
126.0,1.0,1,-0.5158977026376032,-0.25879756521991426
126.0,2.0,7,0.10294796869879799,-0.931988735803316
127.0,1.0,5,0.6847644463348451,0.7153351082437317
127.0,2.0,1,-1.5530503868580776,2.3507761739471476
129.0,1.0,7,0.11775541755630983,0.010274504203239738
129.0,2.0,7,2.252711093340802,-0.29584380901117974
130.0,2.0,6,-0.2649937860293276,0.0038141984145281223
131.0,1.0,1,0.4371103535830496,-0.24133864959943685
131.0,2.0,7,0.11685724343679707,0.022832236801473768
132.0,1.0,2,-0.6151311998640242,-0.7926284772295925
132.0,2.0,2,0.14940758093525444,0.8076191299209361
133.0,1.0,2,-0.41666420541118193,0.275033346789764
133.0,2.0,2,0.9848495514550344,-0.17759915144346378
134.0,1.0,3,0.27000962698463077,-0.6791799694551534
135.0,1.0,1,0.03449694928033368,-0.41776381836619725
135.0,2.0,1,1.4686001119575935,0.09942313002759125
136.0,1.0,3,-0.1150912263379739,-0.00413601363337292
137.0,2.0,4,-2.4174514330298695,-0.594657530582906
138.0,1.0,6,-1.1127910351045822,-2.0244717313054377
138.0,2.0,5,-0.783746854332381,1.0132459949018202
139.0,2.0,7,-0.3663095270192954,-0.6724253699527385
140.0,1.0,4,0.7164556780263759,1.6977122874689823
140.0,2.0,4,0.7212098499887325,-1.1869445811035606
141.0,2.0,8,-0.36599514294624935,-0.2667477772678153
142.0,1.0,4,-1.3995565653202788,-0.8030391308757445
142.0,2.0,9,-0.5167958767571158,-0.24623983262168023
143.0,1.0,4,0.8506526147407051,0.7600565680127591
144.0,1.0,1,-1.3679149817053953,0.04742641246526459
144.0,2.0,2,0.43503868958356423,-0.43686822358033806
145.0,1.0,5,-0.5185802106004743,2.82138887733353
145.0,2.0,3,0.4516034183675153,0.2952469977221958
146.0,1.0,6,0.23474238318773785,0.3335081517025116
