neuron_id,n_presentations,n_folds,fr_accuracy,shuffle_mean_accuracy,n_extreme,p_value,fr_coding,subject,region,paper_unit,n_valid_shuffles
84,114,4,0.08771929824561403,0.09899122807017542,139.0,0.6965174129353234,False,YFM,ent,85,200.0
85,114,4,0.15789473684210525,0.09995614035087719,10.0,0.05472636815920398,False,YFM,ent,86,200.0
86,114,4,0.03508771929824561,0.10429824561403508,199.0,0.9950248756218906,False,YFM,ent,87,200.0
87,114,4,0.12280701754385964,0.09635964912280702,37.0,0.1890547263681592,False,YFM,ent,88,200.0
88,114,4,0.13157894736842105,0.1045175438596491,47.0,0.23880597014925373,False,YFM,ent,89,200.0
89,114,4,0.10526315789473684,0.10368421052631578,101.0,0.5074626865671642,False,YFM,ent,90,200.0
90,114,4,0.08771929824561403,0.10171052631578947,147.0,0.736318407960199,False,YFM,ent,91,200.0
91,114,4,0.13157894736842105,0.09561403508771928,23.0,0.11940298507462686,False,YFM,ent,92,200.0
92,114,4,0.10526315789473684,0.10421052631578945,113.0,0.5671641791044776,False,YFM,ent,93,200.0
93,114,4,0.07894736842105263,0.10350877192982455,169.0,0.845771144278607,False,YFM,ent,94,200.0
29,158,9,0.0949367088607595,0.10484177215189874,142.0,0.7114427860696517,False,YFP,hpc,30,200.0
30,158,9,0.10126582278481013,0.10344936708860761,110.0,0.5522388059701493,False,YFP,hpc,31,200.0
31,158,9,0.1518987341772152,0.10737341772151898,15.0,0.07960199004975124,False,YFP,hpc,32,200.0
32,158,9,0.13924050632911392,0.10360759493670885,28.0,0.14427860696517414,False,YFP,hpc,33,200.0
33,158,9,0.05063291139240506,0.1069620253164557,197.0,0.9850746268656716,False,YFP,hpc,34,200.0
34,158,9,0.06329113924050633,0.10556962025316455,189.0,0.945273631840796,False,YFP,hpc,35,200.0
35,158,9,0.08860759493670886,0.10386075949367089,143.0,0.7164179104477612,False,YFP,hpc,36,200.0
36,158,9,0.13924050632911392,0.1039240506329114,27.0,0.13930348258706468,False,YFP,hpc,37,200.0
37,158,9,0.0759493670886076,0.10452531645569621,177.0,0.8855721393034826,False,YFP,hpc,38,200.0
38,158,9,0.16455696202531644,0.12199367088607596,1.0,0.009950248756218905,True,YFP,hpc,39,200.0
39,158,9,0.13924050632911392,0.10601265822784811,28.0,0.14427860696517414,False,YFP,hpc,40,200.0
40,158,9,0.0759493670886076,0.10601265822784811,171.0,0.8557213930348259,False,YFP,hpc,41,200.0
41,158,9,,,,,False,YFP,hpc,42,0.0
42,158,9,0.0949367088607595,0.10341772151898734,128.0,0.6417910447761194,False,YFP,hpc,43,200.0
43,158,9,0.056962025316455694,0.10167721518987342,191.0,0.9552238805970149,False,YFP,hpc,44,200.0
44,158,9,0.0949367088607595,0.09996835443037973,112.0,0.5621890547263682,False,YFP,hpc,45,200.0
45,158,9,0.10759493670886076,0.10575949367088608,99.0,0.4975124378109453,False,YFP,hpc,46,200.0
46,158,9,0.06962025316455696,0.10844936708860761,186.0,0.9303482587064676,False,YFP,hpc,47,200.0
73,158,9,0.10759493670886076,0.10465189873417721,103.0,0.5174129353233831,False,YFP,hpc,74,200.0
74,158,9,0.11392405063291139,0.10126582278481011,69.0,0.3482587064676617,False,YFP,hpc,75,200.0
75,158,9,0.0759493670886076,0.10778481012658228,175.0,0.8756218905472637,False,YFP,hpc,76,200.0
76,158,9,0.08227848101265822,0.10664556962025315,163.0,0.8159203980099502,False,YFP,hpc,77,200.0
77,158,9,0.08227848101265822,0.10645569620253165,162.0,0.8109452736318408,False,YFP,hpc,78,200.0
78,158,9,0.08860759493670886,0.10556962025316455,148.0,0.7412935323383084,False,YFP,hpc,79,200.0
79,158,9,0.15822784810126583,0.11180379746835445,10.0,0.05472636815920398,False,YFP,hpc,80,200.0
80,158,9,0.056962025316455694,0.10205696202531644,194.0,0.9701492537313433,False,YFP,hpc,81,200.0
81,158,9,0.10126582278481013,0.10810126582278481,121.0,0.6069651741293532,False,YFP,hpc,82,200.0
82,158,9,,,,,False,YFP,hpc,83,0.0
83,158,9,0.12025316455696203,0.1039873417721519,60.0,0.3034825870646766,False,YFP,hpc,84,200.0
84,158,9,0.0759493670886076,0.10199367088607594,169.0,0.845771144278607,False,YFP,hpc,85,200.0
85,158,9,0.15822784810126583,0.10955696202531645,10.0,0.05472636815920398,False,YFP,hpc,86,200.0
86,158,9,0.08860759493670886,0.10718354430379748,147.0,0.736318407960199,False,YFP,hpc,87,200.0
87,158,9,0.10759493670886076,0.10667721518987343,106.0,0.5323383084577115,False,YFP,hpc,88,200.0
88,158,9,0.12025316455696203,0.10417721518987343,65.0,0.3283582089552239,False,YFP,hpc,89,200.0
89,158,9,0.0759493670886076,0.10458860759493671,173.0,0.8656716417910447,False,YFP,hpc,90,200.0
90,158,9,0.12658227848101267,0.10699367088607595,53.0,0.26865671641791045,False,YFP,hpc,91,200.0
91,158,9,0.06962025316455696,0.09734177215189874,167.0,0.835820895522388,False,YFP,hpc,92,200.0
92,158,9,0.0949367088607595,0.10493670886075948,134.0,0.6716417910447762,False,YFP,hpc,93,200.0
93,158,9,0.15822784810126583,0.10408227848101266,17.0,0.08955223880597014,False,YFP,hpc,94,200.0
94,158,9,0.11392405063291139,0.1080379746835443,88.0,0.4427860696517413,False,YFP,hpc,95,200.0
95,158,9,0.10126582278481013,0.10212025316455697,104.0,0.5223880597014925,False,YFP,hpc,96,200.0
96,158,9,0.15822784810126583,0.10661392405063293,10.0,0.05472636815920398,False,YFP,hpc,97,200.0
97,158,9,0.10126582278481013,0.10458860759493672,105.0,0.527363184079602,False,YFP,hpc,98,200.0
0,266,10,0.13533834586466165,0.10795112781954887,26.0,0.13432835820895522,False,YFR,hpc,1,200.0
1,266,10,0.13157894736842105,0.11182330827067669,33.0,0.1691542288557214,False,YFR,hpc,2,200.0
2,266,10,0.10902255639097744,0.12505639097744362,166.0,0.8308457711442786,False,YFR,hpc,3,200.0
