trial_index,operand,number,onset_ms,spike_count,firing_rate_hz
166,2,3,1328055.06666667,24,26.666666666666664
167,1,7,1341271.53333333,22,24.444444444444443
168,1,4,1348021.4,20,22.22222222222222
168,2,2,1348771.4,17,18.88888888888889
169,1,6,1353771.3,10,11.11111111111111
170,2,2,1359521.2,21,23.333333333333332
171,1,8,1365037.8,19,21.11111111111111
171,2,5,1365787.76666667,17,18.88888888888889
172,1,3,1371971.0,18,20.0
172,2,3,1372721.0,12,13.333333333333332
173,2,9,1376854.26666667,11,12.222222222222221
175,2,5,1388854.03333333,23,25.555555555555554
176,1,1,1393670.63333333,16,17.77777777777778
176,2,6,1394420.63333333,19,21.11111111111111
177,1,8,1400270.53333333,27,30.0
177,2,4,1401020.5,23,25.555555555555554
178,1,8,1406403.76666667,19,21.11111111111111
178,2,4,1407153.73333333,21,23.333333333333332
179,2,6,1412786.96666667,11,12.222222222222221
180,1,9,1417686.9,19,21.11111111111111
180,2,4,1418436.86666667,29,32.22222222222222
181,1,2,1424353.43333333,17,18.88888888888889
181,2,2,1425103.43333333,22,24.444444444444443
182,1,2,1429770.03333333,18,20.0
182,2,9,1430520.0,23,25.555555555555554
183,1,8,1435486.6,24,26.666666666666664
183,2,3,1436236.56666667,18,20.0
184,2,7,1443386.46666667,16,17.77777777777778
185,1,7,1449703.0,25,27.77777777777778
185,2,5,1450453.0,33,36.666666666666664
186,1,7,1459019.53333333,23,25.555555555555554
186,2,9,1459769.5,23,25.555555555555554
187,2,3,1468952.66666667,22,24.444444444444443
189,1,3,1495718.9,11,12.222222222222221
189,2,8,1496468.86666667,21,23.333333333333332
190,1,2,1503502.1,18,20.0
190,2,8,1504252.06666667,22,24.444444444444443
191,1,4,1511901.93333333,12,13.333333333333332
191,2,3,1512651.93333333,23,25.555555555555554
192,1,2,1519568.46666667,13,14.444444444444445
192,2,2,1520318.46666667,15,16.666666666666668
193,1,1,1524618.4,14,15.555555555555555
193,2,1,1525368.4,10,11.11111111111111
194,1,7,1529784.96666667,20,22.22222222222222
194,2,2,1530534.96666667,21,23.333333333333332
195,1,3,1535168.23333333,15,16.666666666666668
195,2,2,1535918.2,13,14.444444444444445
196,1,1,1542701.43333333,21,23.333333333333332
196,2,5,1543451.4,29,32.22222222222222
197,2,9,1548118.0,16,17.77777777777778
198,1,5,1557984.5,26,28.88888888888889
198,2,8,1558734.5,21,23.333333333333332
199,1,9,1565367.7,21,23.333333333333332
199,2,2,1566117.7,24,26.666666666666664
200,2,4,1572500.9,15,16.666666666666668
201,1,7,1576750.83333333,23,25.555555555555554
201,2,9,1577500.83333333,19,21.11111111111111
202,1,9,1590217.26666667,17,18.88888888888889
202,2,2,1590967.26666667,16,17.77777777777778
203,1,4,1598383.8,19,21.11111111111111
203,2,7,1599133.8,22,24.444444444444443
204,1,8,1607300.33333333,17,18.88888888888889
204,2,5,1608050.3,19,21.11111111111111
205,1,2,1616350.16666667,33,36.666666666666664
205,2,1,1617100.16666667,23,25.555555555555554
206,1,5,1621583.4,13,14.444444444444445
206,2,1,1622333.4,18,20.0
207,1,8,1626466.66666667,12,13.333333333333332
208,1,2,1632016.56666667,19,21.11111111111111
208,2,7,1632766.56666667,19,21.11111111111111
209,2,1,1638916.43333333,22,24.444444444444443
210,1,7,1644766.33333333,22,24.444444444444443
210,2,4,1645516.33333333,14,15.555555555555555
211,1,5,1650832.9,19,21.11111111111111
211,2,2,1651582.9,14,15.555555555555555
212,1,2,1656432.83333333,17,18.88888888888889
213,2,2,1663016.03333333,18,20.0
214,1,4,1669815.93333333,19,21.11111111111111
214,2,1,1670565.9,22,24.444444444444443
215,2,3,1676582.46666667,10,11.11111111111111
216,1,9,1683632.36666667,15,16.666666666666668
216,2,7,1684382.33333333,14,15.555555555555555
217,1,6,1697465.46666667,20,22.22222222222222
217,2,6,1698215.43333333,12,13.333333333333332
218,1,1,1702665.36666667,17,18.88888888888889
