subject,neuron,region_raw,best_bin_ms,best_gamma,fr_accuracy,temporal_accuracy,accuracy_improvement
YFM,49,ent,90.0,0.8,0.09649122807017543,0.12280701754385964,0.02631578947368421
YFM,61,hpc,100.0,0.5,0.08771929824561403,0.14912280701754385,0.06140350877192982
YFM,62,hpc,90.0,0.2,0.08771929824561403,0.14912280701754385,0.06140350877192982
YFM,64,hpc,150.0,0.2,0.10526315789473684,0.22807017543859648,0.12280701754385964
YFM,65,hpc,100.0,0.2,0.13157894736842105,0.20175438596491227,0.07017543859649122
YFM,66,hpc,150.0,0.8,0.06140350877192982,0.14912280701754385,0.08771929824561403
YFM,67,hpc,300.0,0.2,0.07017543859649122,0.09649122807017543,0.02631578947368421
YFM,68,hpc,450.0,0.2,0.07894736842105263,0.12280701754385964,0.043859649122807015
YFM,69,hpc,75.0,0.2,0.07894736842105263,0.09649122807017543,0.017543859649122806
YFM,70,hpc,60.0,0.8,0.13157894736842105,0.15789473684210525,0.02631578947368421
YFM,71,hpc,450.0,0.8,0.07017543859649122,0.07894736842105263,0.008771929824561403
YFM,72,hpc,75.0,0.2,0.09649122807017543,0.11403508771929824,0.017543859649122806
YFM,73,hpc,100.0,0.2,0.12280701754385964,0.17543859649122806,0.05263157894736842
YFM,74,hpc,150.0,0.2,0.16666666666666666,0.19298245614035087,0.02631578947368421
YFM,76,hpc,60.0,0.2,0.16666666666666666,0.16666666666666666,0.0
YFM,77,hpc,60.0,0.2,0.07894736842105263,0.08771929824561403,0.008771929824561403
YFM,78,hpc,90.0,0.2,0.08771929824561403,0.15789473684210525,0.07017543859649122
YFM,79,hpc,100.0,0.2,0.13157894736842105,0.14035087719298245,0.008771929824561403
YFM,80,hpc,75.0,0.8,0.13157894736842105,0.19298245614035087,0.06140350877192982
YFM,81,hpc,60.0,0.2,0.12280701754385964,0.15789473684210525,0.03508771929824561
YFM,82,ent,60.0,0.2,0.07017543859649122,0.09649122807017543,0.02631578947368421
YFM,83,ent,60.0,0.8,0.13157894736842105,0.13157894736842105,0.0
YFM,84,ent,180.0,0.2,0.07017543859649122,0.15789473684210525,0.08771929824561403
YFM,85,ent,75.0,0.8,0.10526315789473684,0.21929824561403508,0.11403508771929824
YFM,86,ent,225.0,0.2,0.06140350877192982,0.14912280701754385,0.08771929824561403
YFM,87,ent,75.0,0.5,0.13157894736842105,0.14912280701754385,0.017543859649122806
YFM,88,ent,100.0,0.5,0.08771929824561403,0.15789473684210525,0.07017543859649122
YFM,89,ent,300.0,0.5,0.07017543859649122,0.12280701754385964,0.05263157894736842
YFM,90,ent,150.0,0.2,0.09649122807017543,0.15789473684210525,0.06140350877192982
YFM,91,ent,60.0,0.5,0.14912280701754385,0.20175438596491227,0.05263157894736842
YFM,92,ent,180.0,0.5,0.10526315789473684,0.19298245614035087,0.08771929824561403
YFM,93,ent,60.0,0.2,0.09649122807017543,0.14912280701754385,0.05263157894736842
YFP,29,hpc,300.0,0.2,0.08860759493670886,0.14556962025316456,0.056962025316455694
YFP,30,hpc,180.0,0.2,0.11392405063291139,0.17721518987341772,0.06329113924050633
YFP,31,hpc,900.0,0.2,0.1518987341772152,0.1518987341772152,0.0
YFP,32,hpc,75.0,0.2,0.10126582278481013,0.12658227848101267,0.02531645569620254
YFP,33,hpc,100.0,0.2,0.08227848101265822,0.15822784810126583,0.07594936708860761
YFP,34,hpc,150.0,0.8,0.08227848101265822,0.17088607594936708,0.08860759493670886
YFP,35,hpc,90.0,0.2,0.12025316455696203,0.17088607594936708,0.050632911392405056
YFP,36,hpc,900.0,0.2,0.15822784810126583,0.15822784810126583,0.0
YFP,37,hpc,75.0,0.2,0.0759493670886076,0.14556962025316456,0.06962025316455696
YFP,38,hpc,900.0,0.2,0.16455696202531644,0.16455696202531644,0.0
YFP,39,hpc,75.0,0.8,0.12658227848101267,0.14556962025316456,0.01898734177215189
YFP,40,hpc,180.0,0.2,0.0759493670886076,0.13291139240506328,0.05696202531645568
YFP,42,hpc,75.0,0.2,0.0949367088607595,0.11392405063291139,0.01898734177215189
YFP,43,hpc,150.0,0.8,0.06962025316455696,0.12025316455696203,0.05063291139240507
YFP,44,hpc,180.0,0.2,0.0949367088607595,0.14556962025316456,0.050632911392405056
YFP,45,hpc,60.0,0.2,0.12658227848101267,0.15822784810126583,0.03164556962025317
YFP,46,hpc,75.0,0.2,0.08860759493670886,0.13924050632911392,0.050632911392405056
YFP,73,hpc,300.0,0.2,0.08860759493670886,0.20253164556962025,0.11392405063291139
YFP,74,hpc,150.0,0.2,0.10759493670886076,0.14556962025316456,0.03797468354430379
YFP,75,hpc,60.0,0.8,0.08227848101265822,0.15822784810126583,0.07594936708860761
YFP,76,hpc,300.0,0.8,0.08860759493670886,0.12025316455696203,0.03164556962025317
YFP,77,hpc,225.0,0.8,0.08860759493670886,0.12658227848101267,0.037974683544303806
YFP,78,hpc,60.0,0.8,0.10126582278481013,0.14556962025316456,0.04430379746835443
YFP,79,hpc,75.0,0.2,0.15822784810126583,0.18354430379746836,0.025316455696202528
YFP,80,hpc,90.0,0.5,0.08227848101265822,0.12658227848101267,0.044303797468354444
YFP,81,hpc,90.0,0.5,0.0949367088607595,0.12025316455696203,0.025316455696202528
YFP,83,hpc,450.0,0.8,0.10759493670886076,0.12025316455696203,0.012658227848101264
YFP,84,hpc,75.0,0.8,0.06329113924050633,0.14556962025316456,0.08227848101265822
YFP,85,hpc,180.0,0.2,0.1518987341772152,0.18354430379746836,0.03164556962025317
YFP,86,hpc,150.0,0.8,0.08227848101265822,0.13291139240506328,0.050632911392405056
YFP,87,hpc,90.0,0.2,0.12025316455696203,0.12658227848101267,0.006329113924050639
YFP,88,hpc,450.0,0.2,0.08860759493670886,0.11392405063291139,0.025316455696202528
YFP,89,hpc,225.0,0.2,0.06329113924050633,0.13291139240506328,0.06962025316455694
