subject,neuron,region_raw,region,fr_accuracy,permutation_p,n_perm_equal_or_better,coding,valid,invalid_reason
YFM,39,ent,ENT,0.05263157894736842,0.9800995024875622,196.0,False,True,
YFM,40,ent,ENT,0.19298245614035087,0.024875621890547265,4.0,True,True,
YFM,41,ent,ENT,0.03508771929824561,1.0,200.0,False,True,
YFM,42,ent,ENT,0.18421052631578946,0.05472636815920398,10.0,False,True,
YFM,43,ent,ENT,0.13157894736842105,0.208955223880597,41.0,False,True,
YFM,44,ent,ENT,0.06140350877192982,0.9104477611940298,182.0,False,True,
YFM,45,ent,ENT,0.06140350877192982,0.945273631840796,189.0,False,True,
YFM,46,ent,ENT,0.05263157894736842,0.9353233830845771,187.0,False,True,
YFM,47,ent,ENT,0.11403508771929824,0.38308457711442784,76.0,False,True,
YFM,48,ent,ENT,0.07894736842105263,0.8308457711442786,166.0,False,True,
YFM,49,ent,ENT,0.09649122807017543,0.6517412935323383,130.0,False,True,
YFM,61,hpc,HPC,0.08771929824561403,0.7213930348258707,144.0,False,True,
YFM,62,hpc,HPC,0.08771929824561403,0.7412935323383084,148.0,False,True,
YFM,63,hpc,HPC,,,,False,False,observed firing-rate decoding returned NaN
YFM,64,hpc,HPC,0.10526315789473684,0.5124378109452736,102.0,False,True,
YFM,65,hpc,HPC,0.13157894736842105,0.22388059701492538,44.0,False,True,
YFM,66,hpc,HPC,0.06140350877192982,0.9502487562189055,190.0,False,True,
YFM,67,hpc,HPC,0.07017543859649122,0.8059701492537313,161.0,False,True,
YFM,68,hpc,HPC,0.07894736842105263,0.7860696517412935,157.0,False,True,
YFM,69,hpc,HPC,0.07894736842105263,0.845771144278607,169.0,False,True,
YFM,70,hpc,HPC,0.13157894736842105,0.1791044776119403,35.0,False,True,
YFM,71,hpc,HPC,0.07017543859649122,0.7263681592039801,145.0,False,True,
YFM,72,hpc,HPC,0.09649122807017543,0.6218905472636815,124.0,False,True,
YFM,73,hpc,HPC,0.12280701754385964,0.3034825870646766,60.0,False,True,
YFM,74,hpc,HPC,0.16666666666666666,0.06467661691542288,12.0,False,True,
YFM,75,hpc,HPC,,,,False,False,observed firing-rate decoding returned NaN
YFM,76,hpc,HPC,0.16666666666666666,,,False,False,13 permutation accuracies were NaN
YFM,77,hpc,HPC,0.07894736842105263,0.8905472636815921,178.0,False,True,
