trial_index,operand,number,bin1,bin2,bin3,bin4,bin5,bin6
261.0,2.0,6,0,1,4,1,1,3
262.0,2.0,2,1,0,2,2,1,1
263.0,1.0,1,1,1,2,0,1,1
264.0,1.0,5,1,0,0,2,1,1
264.0,2.0,9,1,0,0,2,2,2
265.0,1.0,6,0,1,2,1,1,1
265.0,2.0,1,1,2,2,0,0,2
266.0,2.0,4,1,0,1,1,1,1
267.0,1.0,9,2,2,0,1,0,0
268.0,1.0,7,0,1,2,0,0,0
268.0,2.0,4,0,2,3,2,2,0
269.0,1.0,3,3,0,1,0,2,1
269.0,2.0,9,1,0,1,1,1,1
270.0,1.0,5,1,3,1,1,3,1
270.0,2.0,1,1,2,2,2,0,1
271.0,2.0,5,1,1,0,2,0,2
272.0,1.0,4,0,0,1,0,1,1
273.0,1.0,3,2,0,1,1,1,1
273.0,2.0,8,1,0,1,2,0,1
274.0,1.0,3,0,1,2,0,1,1
274.0,2.0,2,1,3,1,1,1,0
275.0,2.0,2,2,0,2,0,0,1
276.0,1.0,4,0,1,0,0,0,1
276.0,2.0,2,1,1,1,0,0,0
277.0,2.0,4,0,0,2,1,1,0
278.0,1.0,6,1,2,1,1,1,4
278.0,2.0,9,4,0,2,1,0,1
279.0,1.0,8,0,0,0,3,0,0
279.0,2.0,5,0,1,3,1,2,1
280.0,1.0,6,0,0,3,0,0,2
280.0,2.0,7,2,0,1,2,0,2
281.0,1.0,3,1,1,1,0,1,0
281.0,2.0,4,0,2,2,0,1,2
282.0,1.0,5,2,0,0,1,2,0
282.0,2.0,1,0,2,0,1,1,0
283.0,1.0,1,0,0,1,1,1,1
283.0,2.0,4,1,2,1,0,1,1
284.0,2.0,4,3,1,0,1,1,1
285.0,1.0,1,2,0,2,1,0,5
285.0,2.0,9,5,1,1,1,1,0
286.0,1.0,6,0,0,0,1,0,0
287.0,1.0,8,0,0,0,0,2,2
288.0,1.0,4,0,0,0,1,1,2
288.0,2.0,4,2,1,2,1,0,0
289.0,1.0,4,1,0,1,0,0,0
289.0,2.0,6,0,1,0,1,1,2
290.0,1.0,7,0,1,2,2,1,0
290.0,2.0,2,0,1,1,1,0,3
291.0,1.0,1,1,0,1,1,1,2
291.0,2.0,4,2,1,0,1,1,0
292.0,1.0,6,0,0,0,0,0,1
292.0,2.0,7,1,1,0,0,1,0
293.0,1.0,7,0,1,3,0,1,1
293.0,2.0,4,1,2,1,0,2,1
294.0,1.0,5,1,1,2,2,1,1
294.0,2.0,1,1,0,3,0,1,1
295.0,1.0,2,0,0,1,2,0,1
295.0,2.0,8,1,1,1,1,1,1
296.0,1.0,6,0,1,1,1,1,2
297.0,1.0,4,1,1,2,1,1,2
297.0,2.0,5,2,0,1,1,0,1
298.0,1.0,4,2,1,2,1,0,2
298.0,2.0,2,2,1,0,1,1,0
