subject,neuron,region_raw,region,n_trials,n_presentations,best_bin_ms,best_gamma,temporal_accuracy,permutation_p,n_perm_equal_or_better,coding,valid,invalid_reason,raw_significant,fdr_q,fdr_significant
YFK,45,para-hpc,PARA-HPC,100,114,180.0,0.2,0.1842105263157894,0.0149253731343283,2.0,True,True,,True,0.12686567164179055,False
YFK,46,para-hpc,PARA-HPC,100,114,180.0,0.5,0.1491228070175438,0.1791044776119403,35.0,False,True,,False,0.307359103535948,False
YFK,47,hpc,HPC,100,114,150.0,0.2,0.1578947368421052,0.099502487562189,19.0,False,True,,False,0.22936166624504584,False
YFK,48,hpc,HPC,100,114,60.0,0.5,0.1929824561403508,0.0348258706467661,6.0,True,True,,True,0.14244566640481773,False
YFK,49,hpc,HPC,100,114,225.0,0.8,0.1578947368421052,0.1243781094527363,24.0,False,True,,False,0.254367261437175,False
YFK,50,hpc,HPC,100,114,900.0,0.2,0.087719298245614,0.5870646766169154,117.0,False,True,,False,0.6213291519058405,False
YFK,51,hpc,HPC,100,114,90.0,0.2,0.2105263157894736,0.0099502487562189,1.0,True,True,,True,0.11516883666772515,False
YFK,52,hpc,HPC,100,114,900.0,0.2,0.1491228070175438,0.0945273631840796,18.0,False,True,,False,0.2245540854678572,False
YFK,53,hpc,HPC,100,114,60.0,0.2,0.1228070175438596,0.4129353233830846,82.0,False,True,,False,0.4810210191014947,False
YFK,54,hpc,HPC,100,114,150.0,0.2,0.1491228070175438,0.0845771144278607,16.0,False,True,,False,0.21399976859886616,False
YFK,55,hpc,HPC,100,114,90.0,0.8,0.1666666666666666,0.0895522388059701,17.0,False,True,,False,0.21845927314102123,False
YFK,56,hpc,HPC,100,114,60.0,0.2,0.1578947368421052,,,False,False,1 permutation accuracies were NaN,False,,False
YFK,57,hpc,HPC,100,114,225.0,0.8,0.1842105263157894,0.0149253731343283,2.0,True,True,,True,0.12686567164179055,False
YFK,58,hpc,HPC,100,114,450.0,0.2,0.1578947368421052,0.0845771144278607,16.0,False,True,,False,0.21399976859886616,False
